time,date,climate,response,zero_flow,climate_interp,climate_corrupt,response_interp,phase,site,disturbance,class
186,2001-04-04,8.0256,67.96044,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
187,2001-04-05,1.3446,67.96044,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
188,2001-04-06,0.0079,62.29707,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
189,2001-04-07,47.746,453.0696,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
190,2001-04-08,0.2293,127.425825,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
191,2001-04-09,3.822,101.94066,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
192,2001-04-10,1.2187,87.782235,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
193,2001-04-11,0.0028,76.455495,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
194,2001-04-12,0.0617,70.792125,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
195,2001-04-13,0,65.128755,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
196,2001-04-14,0,65.128755,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
197,2001-04-15,0,65.128755,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
198,2001-04-16,0,53.802015,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
199,2001-04-17,0,50.97033,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
200,2001-04-18,0.4265,45.30696,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
201,2001-04-19,0.1302,42.475275,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
202,2001-04-20,0,53.802015,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
203,2001-04-21,26.7664,87.782235,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
